iter	Passed	Remaining
1433	59990	358351
1434	60003	358138
1435	60016	357925
1436	60029	357713
1437	60176	358297
1438	60190	358088
1439	60203	357876
1440	60217	357667
1441	60231	357459
1442	60252	357297
1443	60266	357093
1444	60281	356893
1445	60298	356701
1446	60403	357036
1447	60525	357471
1448	60579	357497
1449	60604	357358
1450	60649	357333
1451	60688	357275
1452	60727	357217
1453	60750	357063
1454	60764	356859
1455	60778	356655
1456	60817	356600
1457	60832	356401
1458	61032	357283
1459	61047	357085
1460	61065	356904
1461	61171	357236
1462	61269	357526
1463	61357	357749
1464	61476	358159
1465	61493	357973
1466	61506	357760
1467	61521	357560
1468	61533	357346
1469	61636	357661
1470	61649	357451
1471	61674	357307
1472	61706	357209
1473	61730	357063
1474	61743	356854
1475	61911	357545
1476	62054	358083
1477	62072	357901
1478	62121	357900
1479	62138	357717
1480	62151	357505
1481	62169	357330
1482	62179	357102
1483	62191	356889
1484	62212	356728
1485	62230	356548
1486	62259	356433
1487	62313	356462
1488	62488	357181
1489	62524	357105
1490	62550	356971
1491	62568	356792
1492	62646	356953
1493	62669	356805
1494	62687	356627
1495	62701	356424
1496	62714	356221
1497	62728	356020
1498	62887	356643
1499	62982	356903
1500	63095	357263
1501	63109	357058
1502	63240	357522
1503	63264	357377
1504	63384	357774
1505	63397	357568
1506	63410	357363
1507	63424	357161
1508	63443	356992
1509	63456	356786
1510	63470	356583
1511	63595	357007
1512	63656	357075
1513	63771	357440
1514	63789	357263
1515	63801	357053
1516	63813	356843
1517	63839	356709
1518	63958	357095
1519	63971	356894
1520	63985	356692
1521	63997	356486
1522	64010	356283
1523	64030	356119
1524	64046	355931
1525	64062	355742
1526	64097	355662
1527	64192	355916
1528	64209	355735
1529	64363	356313
1530	64490	356738
1531	64597	357056
1532	64705	357379
1533	64723	357202
1534	64736	356998
1535	64749	356796
1536	64762	356593
1537	64789	356470
1538	64881	356702
1539	64901	356538
1540	64993	356767
1541	65006	356567
1542	65039	356472
1543	65052	356272
1544	65067	356081
1545	65192	356491
1546	65207	356300
1547	65321	356651
1548	65336	356461
1549	65351	356271
1550	65366	356078
1551	65399	355989
1552	65414	355801
1553	65432	355624
1554	65445	355427
1555	65574	355856
1556	65706	356302
1557	65723	356120
1558	65734	355910
1559	65833	356175
1560	65847	355982
1561	65865	355810
1562	65974	356124
1563	66086	356463
1564	66102	356279
1565	66119	356097
1566	66132	355901
1567	66167	355819
1568	66181	355624
1569	66203	355473
1570	66287	355658
1571	66318	355555
1572	66332	355362
1573	66358	355230
1574	66500	355727
1575	66618	356089
1576	66649	355985
1577	66675	355856
1578	66690	355670
1579	66705	355482
1580	66922	356372
1581	66959	356299
1582	67005	356273
1583	67022	356098
1584	67040	355928
1585	67082	355886
1586	67107	355748
1587	67122	355561
1588	67283	356151
1589	67299	355966
1590	67312	355772
1591	67328	355591
1592	67347	355421
1593	67361	355233
1594	67376	355046
1595	67565	355778
1596	67614	355768
1597	67636	355618
1598	67669	355527
1599	67718	355524
1600	67749	355422
1601	67769	355262
1602	67795	355134
1603	67812	354960
1604	67835	354814
1605	67879	354782
1606	67897	354612
1607	67916	354450
1608	68116	355230
1609	68165	355223
1610	68325	355794
1611	68343	355625
1612	68357	355434
1613	68376	355270
1614	68410	355181
1615	68426	355007
1616	68442	354826
1617	68455	354629
1618	68470	354450
1619	68485	354266
1620	68502	354090
1621	68517	353909
1622	68539	353762
1623	68555	353583
1624	68599	353552
1625	68862	354644
1626	68910	354632
1627	68941	354533
1628	68973	354436
1629	69014	354386
1630	69048	354304
1631	69291	355287
1632	69331	355233
1633	69343	355037
1634	69359	354857
1635	69372	354662
1636	69494	355027
1637	69529	354946
1638	69551	354800
1639	69585	354715
1640	69613	354599
1641	69635	354455
1642	69695	354500
1643	69722	354379
1644	69756	354297
1645	69826	354392
1646	69848	354248
1647	69876	354132
1648	69901	353999
1649	70064	354567
1650	70083	354407
1651	70112	354299
1652	70172	354341
1653	70184	354146
1654	70198	353963
1655	70210	353765
1656	70231	353616
1657	70249	353450
1658	70264	353271
1659	70282	353107
